##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	NGS200B_25_192564_FC_F_BRCAv2_Pan1449_S1_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	663216
Sequences flagged as poor quality	0
Sequence length	151
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	143	0.452706790502198
1103	144	0.3022750571314603
1103	145	0.4530675477587849
1103	146	0.35220575405476495
1103	147	0.4235719248672325
1103	148	0.4066578735430113
1103	149	0.51262628077329
1103	150	0.4866689027472617
1103	151	0.1087807964494587
1104	1	0.07687497980175095
1104	2	0.05176577437510588
1104	3	0.0649816679410975
1104	4	0.053458595946928256
1104	5	0.13048110647363842
1104	6	0.046858071117235056
1104	7	0.16789473901717145
1104	8	0.05101627735768233
1104	9	0.001265101363237875
1104	10	0.13731120686492915
1104	11	-0.06546398454967317
1104	12	0.010030864507434956
1104	13	-0.02939491148271145
1104	14	-0.04083183506227073
1104	15	0.024947764103821157
1104	16	0.12978980933903017
1104	17	0.3621575265953041
1104	18	0.1987138357938676
1104	19	0.1144150136322537
1104	20	0.01135658883924151
1104	21	-0.14299728564375158
1104	22	0.02470639967818755
1104	23	-0.051897006206310436
1104	24	0.30183355737436557
1104	25	0.14998421567617726
1104	26	-0.5604479547928278
1104	27	0.06302458652731957
1104	28	-0.051824861130903344
1104	29	0.11881136987236118
1104	30	0.051110964063148856
1104	31	0.012894620393801404
1104	32	0.120911850092007
1104	33	-0.07282597381912126
1104	34	0.11625189119682489
1104	35	0.0941436932152655
1104	36	0.004816684383762038
1104	37	-0.0061682675065739545
1104	38	0.13480898329436997
1104	39	0.07527715637066734
1104	40	0.017196047012987492
1104	41	0.1498859808731865
1104	42	0.1949262135571317
1104	43	-0.07841637883544905
1104	44	0.3686987594824629
1104	45	-0.03534972639253908
1104	46	0.15729808634247178
1104	47	0.03579150819022203
1104	48	0.0831157660931936
1104	49	0.048709584386131155
1104	50	0.16373187696750335
1104	51	-0.020845202302709254
1104	52	0.1641007462080708
1104	53	0.00446223822683578
1104	54	0.09273139311735434
